transaction_id,amount,transaction_time,device_type,location,payment_method,merchant_category,transaction_frequency,account_age_days,avg_transaction_amount,failed_transactions_24h,is_international,device_change,is_fraud
52,373.64,11,desktop,semi-urban,Debit Card,travel,1,176,232.49,0,0,0,0
53,731.7,22,desktop,urban,Net Banking,travel,26,30,1010.12,0,0,0,0
54,613.61,11,mobile,semi-urban,Debit Card,travel,5,454,372.5,0,0,0,0
55,277.28,6,mobile,urban,Credit Card,education,14,450,177.99,0,0,0,0
56,16363.49,13,desktop,semi-urban,Net Banking,electronics,22,346,6485.16,1,1,1,1
57,661.85,12,desktop,urban,UPI,groceries,13,281,641.6,0,0,0,0
58,1185.37,19,desktop,urban,Debit Card,education,5,30,1776.29,0,0,0,0
59,230.77,20,mobile,urban,Debit Card,entertainment,4,364,285.34,0,0,1,0
60,2159.17,8,mobile,semi-urban,Debit Card,health,17,397,3159.4,0,0,1,0
61,2089.37,10,tablet,urban,Credit Card,electronics,17,440,1289.92,1,0,0,0
62,168.39,14,tablet,semi-urban,Net Banking,entertainment,19,532,208.8,0,0,1,0
63,315.61,20,mobile,semi-urban,UPI,education,13,1176,354.66,0,0,0,0
64,169.42,11,desktop,rural,Credit Card,entertainment,15,573,152.25,0,0,0,0
65,1117.35,2,desktop,semi-urban,UPI,food,6,1219,1248.24,0,0,0,0
66,1608.97,8,mobile,semi-urban,Net Banking,education,16,134,2363.55,0,1,0,0
67,252.36,19,mobile,urban,Credit Card,groceries,35,433,296.89,0,0,1,0
68,2845.12,13,mobile,urban,UPI,recharge,7,584,3458.93,0,0,0,0
69,767.76,6,mobile,urban,Debit Card,gaming,5,30,510.11,0,0,1,0
70,15614.99,12,tablet,rural,Credit Card,electronics,15,27,3375.75,4,1,0,1
71,2683.4,7,mobile,rural,UPI,entertainment,28,1038,3063.43,0,0,1,0
72,942.25,16,desktop,urban,Net Banking,travel,25,896,1086.42,0,0,0,0
73,21314.76,14,desktop,rural,Debit Card,electronics,30,109,4383.36,4,1,1,1
74,792.32,16,mobile,rural,UPI,health,19,1051,501.93,0,0,0,0
75,1120.27,21,mobile,urban,UPI,fashion,20,393,1615.91,1,0,0,0
76,5990.33,4,desktop,urban,Debit Card,electronics,45,121,658.8,1,0,1,1
77,607.34,8,mobile,semi-urban,Paytm Wallet,groceries,26,421,679.87,0,0,0,0
78,2392.68,12,desktop,rural,UPI,electronics,10,376,2238.21,0,0,0,0
79,1458.67,20,mobile,semi-urban,UPI,gaming,10,660,959.71,0,0,0,0
80,471.65,6,mobile,semi-urban,UPI,electronics,17,352,490.19,0,0,0,0
81,1384.44,21,desktop,urban,Paytm Wallet,gaming,3,599,1830.55,1,0,0,0
82,775.85,14,mobile,urban,UPI,fashion,7,381,1099.08,0,0,1,0
83,1821.47,15,mobile,semi-urban,Paytm Wallet,groceries,18,1056,2535.03,0,0,0,0
84,987.76,18,mobile,semi-urban,Credit Card,health,26,742,599.98,0,0,0,0
85,311.6,11,mobile,urban,Net Banking,health,12,1066,453.58,0,0,0,0
86,165.61,7,mobile,urban,Credit Card,fashion,5,458,168.79,1,1,0,0
87,1127.64,7,mobile,urban,Paytm Wallet,groceries,11,395,748.89,0,0,0,0
88,22811.22,22,tablet,rural,Debit Card,gaming,2,10,5748.17,3,1,1,1
89,824.09,23,mobile,urban,Debit Card,entertainment,11,666,1234.12,1,0,0,0
90,798.78,19,desktop,rural,Debit Card,education,2,966,955.03,0,0,0,0
91,469.42,8,mobile,urban,Credit Card,health,14,230,485.05,0,0,0,0
92,10198.75,22,desktop,semi-urban,Credit Card,electronics,37,153,3018.21,4,0,1,1
93,624.08,16,desktop,semi-urban,Net Banking,education,16,1425,830.59,1,0,0,0
94,720.19,12,mobile,semi-urban,Debit Card,travel,7,830,954.33,0,0,0,0
95,670.93,8,mobile,urban,Debit Card,groceries,20,485,968.69,0,0,0,0
96,1697.36,22,mobile,urban,UPI,groceries,20,30,2395.82,0,0,0,0
97,1011.8,21,desktop,semi-urban,Paytm Wallet,travel,1,945,871.87,0,1,0,0
98,610.77,6,tablet,semi-urban,UPI,fashion,7,121,606.38,0,0,0,0
99,485.95,5,desktop,semi-urban,UPI,fashion,19,1140,513.3,0,0,0,0
100,148.51,14,desktop,rural,Debit Card,entertainment,6,36,149.06,0,0,1,0
101,1744.52,20,mobile,urban,Credit Card,gaming,17,231,1826.87,0,0,0,0
102,1364.16,14,desktop,semi-urban,UPI,groceries,20,739,1355.06,1,0,0,0
103,825.9,2,tablet,semi-urban,UPI,groceries,12,718,782.64,0,1,0,0
104,323.2,12,desktop,semi-urban,Net Banking,electronics,14,323,448.48,0,0,0,0
105,2008.1,11,mobile,urban,Debit Card,travel,11,887,1322.83,0,0,0,0
106,313.87,17,tablet,urban,Debit Card,travel,20,698,432.3,0,0,0,0
107,1044.09,21,mobile,urban,Debit Card,entertainment,6,438,1274.41,0,0,0,0
108,880.3,16,mobile,rural,Net Banking,entertainment,19,1288,1186.23,1,0,0,0
109,656.14,5,tablet,urban,Credit Card,health,8,1185,489.24,0,0,0,0
110,43.51,9,mobile,urban,Paytm Wallet,groceries,15,565,64.04,0,0,0,0
111,924.47,8,mobile,urban,UPI,recharge,20,459,943.07,0,1,0,0
112,1431.23,6,desktop,rural,Credit Card,food,16,846,1218.1,1,0,0,0
113,1408.86,5,mobile,semi-urban,UPI,health,12,49,1608.62,0,0,0,0
114,668.39,23,desktop,urban,Credit Card,recharge,8,837,431.8,1,0,0,0
115,21068.48,5,desktop,urban,Paytm Wallet,electronics,41,49,8780.46,6,0,1,1
116,5884.98,5,desktop,semi-urban,Debit Card,entertainment,21,227,2036.6,4,1,0,1
117,713.59,20,desktop,urban,UPI,recharge,24,732,685.15,0,0,0,0
118,466.19,19,desktop,urban,Credit Card,gaming,26,431,648.83,0,0,0,0
119,155.52,14,mobile,rural,UPI,travel,13,789,104.19,0,0,0,0
120,1354.03,17,tablet,urban,Paytm Wallet,groceries,12,1092,1905.95,1,0,0,0
121,708.59,8,desktop,urban,UPI,fashion,9,309,801.07,0,0,1,0
122,836.34,9,mobile,urban,Debit Card,travel,10,863,799.44,0,0,0,0
123,913.01,21,tablet,semi-urban,Credit Card,electronics,4,308,684.4,0,0,0,0
124,601.91,6,mobile,urban,Net Banking,groceries,8,511,891.77,0,0,0,0
125,503.02,14,mobile,urban,UPI,health,9,1502,746.48,0,0,0,0
126,1369.58,15,mobile,semi-urban,Debit Card,electronics,14,1223,1026.47,0,0,0,0
127,1764.77,18,desktop,urban,Credit Card,health,28,560,1599.92,0,0,0,0
128,1446.23,17,mobile,urban,Debit Card,education,9,666,1934.09,1,0,0,0
129,459.87,23,mobile,urban,UPI,recharge,18,1348,418.11,1,0,0,0
130,257.36,13,mobile,semi-urban,UPI,fashion,10,655,283.25,0,0,0,0
131,114.68,23,desktop,rural,Debit Card,food,12,527,146.85,0,0,0,0
132,711.84,3,mobile,semi-urban,UPI,travel,6,609,884.79,0,0,0,0
133,846.38,0,mobile,semi-urban,Credit Card,education,18,1694,1014.94,0,0,0,0
134,1079.99,22,desktop,urban,Debit Card,recharge,13,30,806.0,0,0,1,0
135,413.75,11,mobile,semi-urban,Paytm Wallet,health,19,885,576.56,0,0,0,0
136,252.04,10,desktop,urban,Paytm Wallet,travel,10,353,210.76,0,0,0,0
137,1149.18,8,desktop,urban,Debit Card,health,8,1266,1072.91,1,0,0,0
138,1612.56,8,mobile,urban,UPI,recharge,17,306,2107.85,1,0,0,0
139,25146.65,5,desktop,rural,Debit Card,electronics,36,17,8019.02,6,0,1,1
140,421.11,0,mobile,semi-urban,Debit Card,entertainment,1,1007,444.07,0,0,0,0
141,99.52,10,tablet,urban,UPI,recharge,3,1032,135.77,0,0,0,0
142,1415.71,8,mobile,urban,Credit Card,travel,24,381,1597.41,0,0,0,0
143,1228.79,15,desktop,semi-urban,UPI,food,16,861,1145.62,0,0,0,0
144,2381.53,10,mobile,rural,UPI,recharge,25,1005,2797.35,0,0,0,0
145,866.34,6,mobile,urban,UPI,travel,1,752,1035.93,0,0,0,0
146,1407.76,17,mobile,urban,UPI,food,16,518,2046.13,0,0,0,0
147,501.34,6,mobile,urban,Paytm Wallet,education,16,160,332.5,0,0,0,0
148,273.36,7,desktop,urban,Debit Card,education,8,342,371.37,0,1,0,0
149,248.35,13,mobile,semi-urban,UPI,entertainment,10,30,239.94,0,0,1,0
150,825.23,17,mobile,urban,Credit Card,education,16,52,1154.45,0,0,0,0
151,846.29,8,mobile,semi-urban,Net Banking,education,21,1461,537.87,0,0,0,0
152,2409.58,11,desktop,urban,Debit Card,entertainment,17,1106,3569.79,0,0,0,0
153,548.24,8,mobile,urban,Net Banking,health,19,30,568.06,0,0,0,0
154,785.53,12,mobile,semi-urban,UPI,groceries,7,435,987.87,1,0,1,0
155,986.73,9,mobile,urban,UPI,education,7,204,815.47,0,0,0,0
156,6682.1,14,desktop,semi-urban,Debit Card,travel,23,63,2385.48,2,1,1,1
157,1152.42,19,tablet,rural,UPI,entertainment,19,30,924.16,1,0,0,0
158,271.15,6,mobile,semi-urban,UPI,food,15,680,212.67,1,0,0,0
159,240.49,3,mobile,semi-urban,UPI,travel,30,664,229.3,1,0,0,0
160,115.11,6,mobile,urban,Net Banking,health,13,914,90.23,0,0,0,0
161,19816.69,9,desktop,rural,Debit Card,entertainment,23,58,5963.69,4,1,0,1
162,605.62,1,mobile,semi-urban,Debit Card,food,26,413,470.55,0,0,0,0
163,1864.58,10,desktop,urban,UPI,health,8,477,2371.48,0,0,0,0
164,464.77,19,desktop,semi-urban,Credit Card,gaming,23,1315,577.92,0,0,0,0
165,829.7,21,desktop,urban,UPI,recharge,15,396,919.64,0,1,0,0
166,251.84,19,mobile,urban,Debit Card,groceries,14,164,330.68,1,0,0,0
167,757.01,17,mobile,urban,Debit Card,recharge,14,390,768.8,0,0,0,0
168,2757.77,14,desktop,urban,Debit Card,electronics,18,652,1927.48,1,0,1,0
169,1150.95,16,desktop,semi-urban,Paytm Wallet,gaming,19,474,1722.49,0,0,1,0
170,1525.55,14,desktop,semi-urban,UPI,travel,12,267,1670.98,0,1,0,0
171,1934.36,14,desktop,semi-urban,UPI,gaming,11,603,2592.28,0,0,0,0
172,874.14,9,mobile,urban,UPI,groceries,17,248,1243.23,0,0,0,0
173,431.27,11,desktop,urban,Net Banking,fashion,18,547,463.55,1,0,0,0
174,112.92,18,desktop,urban,Debit Card,groceries,22,822,82.51,0,0,0,0
175,1464.66,4,mobile,urban,UPI,health,18,664,919.37,0,0,0,0
176,922.31,8,mobile,urban,Net Banking,fashion,12,541,746.01,0,0,0,0
177,7990.5,8,mobile,semi-urban,Net Banking,food,1,1133,8599.27,0,0,0,0
178,3134.92,10,mobile,urban,UPI,travel,34,30,3707.53,0,0,1,0
179,6359.49,7,desktop,urban,Net Banking,electronics,13,461,9404.37,0,0,0,0
180,269.22,15,mobile,semi-urban,UPI,health,26,35,386.37,0,0,0,0
181,1046.23,15,desktop,semi-urban,Credit Card,food,21,763,870.62,0,0,0,0
182,2262.98,9,desktop,semi-urban,Debit Card,electronics,15,452,2105.2,0,0,0,0
183,445.72,11,tablet,urban,Credit Card,groceries,30,709,343.78,1,0,0,0
184,509.09,13,mobile,urban,Credit Card,recharge,6,1083,584.96,0,0,0,0
185,3412.39,16,tablet,semi-urban,UPI,education,29,725,4083.33,0,1,0,0
186,1287.81,21,mobile,semi-urban,Paytm Wallet,health,4,97,1293.54,0,0,0,0
187,2515.45,15,mobile,rural,UPI,electronics,32,58,1157.12,4,0,0,1
188,363.1,15,desktop,urban,Debit Card,entertainment,18,847,329.08,0,1,0,0
189,1029.05,19,mobile,urban,Credit Card,fashion,26,547,1078.05,0,0,0,0
190,22278.83,22,desktop,rural,Net Banking,gaming,41,59,8868.12,4,0,0,1
191,2059.72,18,mobile,urban,Credit Card,groceries,13,452,1742.23,0,0,0,0
192,561.62,14,mobile,urban,Credit Card,recharge,29,901,595.01,0,0,0,0
193,1435.79,15,tablet,semi-urban,UPI,recharge,25,185,1673.03,1,0,0,0
194,1303.73,9,desktop,semi-urban,UPI,food,29,739,825.73,0,0,0,0
195,83.73,16,mobile,semi-urban,Credit Card,health,4,111,101.42,0,0,0,0
196,261.98,8,desktop,urban,Debit Card,fashion,11,1084,352.87,0,0,0,0
197,402.09,14,desktop,semi-urban,UPI,food,10,835,268.53,0,0,1,0
198,646.04,19,mobile,semi-urban,Debit Card,gaming,7,490,910.51,1,0,0,0
199,903.8,9,mobile,rural,UPI,groceries,19,858,681.87,1,0,1,0
200,642.97,16,mobile,semi-urban,Debit Card,travel,1,778,456.38,0,0,0,0
201,362.22,8,desktop,semi-urban,UPI,entertainment,5,1213,224.42,0,0,0,0
202,1876.18,21,mobile,urban,UPI,fashion,9,659,1459.7,1,0,0,0
203,612.39,12,desktop,urban,UPI,food,1,735,451.3,0,0,0,0
204,25169.12,21,tablet,semi-urban,UPI,gaming,24,85,5231.0,5,1,0,1
205,964.14,12,tablet,urban,Credit Card,fashion,21,100,1391.11,0,0,0,0
206,785.05,17,desktop,semi-urban,Credit Card,recharge,18,369,725.89,0,0,0,0
207,458.99,20,desktop,urban,Credit Card,education,10,651,320.82,0,0,1,0
208,12306.09,2,desktop,semi-urban,Credit Card,gaming,11,38,3423.29,4,0,1,1
209,281.34,15,desktop,urban,UPI,gaming,9,30,396.88,0,0,0,0
210,448.01,20,desktop,semi-urban,UPI,recharge,14,825,427.72,0,0,1,0
211,820.04,13,mobile,rural,Credit Card,entertainment,20,693,609.95,0,0,0,0
212,2020.27,22,mobile,rural,Credit Card,travel,25,167,293.48,3,0,1,1
213,266.99,9,mobile,rural,Credit Card,electronics,11,570,347.03,0,0,1,0
214,611.93,16,mobile,urban,Debit Card,food,17,133,810.01,0,0,0,0
215,467.33,11,mobile,semi-urban,Debit Card,gaming,13,913,366.4,1,1,0,0
216,529.53,18,desktop,semi-urban,UPI,gaming,22,1001,569.54,0,0,0,0
217,375.77,21,mobile,semi-urban,Credit Card,electronics,19,444,304.68,0,0,0,0
218,740.21,11,mobile,urban,UPI,travel,19,955,786.15,1,0,0,0
219,456.86,17,mobile,semi-urban,Paytm Wallet,fashion,16,712,626.58,1,0,0,0
220,688.53,15,mobile,rural,UPI,education,1,30,509.63,0,0,0,0
221,353.18,11,desktop,urban,Net Banking,health,21,990,509.54,0,0,0,0
222,1294.62,11,desktop,rural,Debit Card,food,17,1099,1513.06,0,0,1,0
223,5585.42,23,desktop,urban,Credit Card,fashion,39,53,2776.43,5,1,0,1
224,423.15,13,mobile,urban,UPI,groceries,1,1585,346.55,0,0,0,0
225,252.22,19,mobile,rural,Debit Card,food,10,30,351.46,0,0,0,0
226,465.24,16,mobile,semi-urban,Credit Card,groceries,23,820,666.83,0,0,0,0
227,500.86,11,mobile,urban,Credit Card,food,23,1039,404.19,0,0,0,0
228,318.54,5,desktop,semi-urban,Debit Card,health,26,604,433.62,0,1,0,0
229,623.39,9,mobile,semi-urban,UPI,food,16,825,580.94,1,0,0,0
230,1164.39,15,tablet,rural,Debit Card,education,12,30,880.03,0,0,1,0
231,476.67,14,mobile,urban,Credit Card,groceries,27,154,494.4,0,0,0,0
232,5693.64,12,desktop,urban,Debit Card,entertainment,8,1188,7218.72,0,0,1,0
233,304.96,12,mobile,semi-urban,Debit Card,gaming,15,781,249.51,1,0,0,0
234,13598.06,5,desktop,rural,Credit Card,electronics,32,77,3445.94,6,1,1,1
235,394.83,3,mobile,semi-urban,Debit Card,gaming,7,425,389.08,0,0,0,0
236,90.72,6,desktop,urban,Debit Card,electronics,16,445,131.91,0,0,0,0
237,736.65,14,mobile,urban,UPI,travel,15,259,722.52,0,0,1,0
238,2505.87,14,mobile,rural,Credit Card,recharge,21,1042,1867.08,0,0,0,0
239,1365.39,13,desktop,semi-urban,Debit Card,travel,15,452,904.86,0,0,1,0
240,1011.8,20,mobile,semi-urban,UPI,electronics,10,1351,1102.68,0,0,0,0
241,860.59,13,mobile,semi-urban,Net Banking,travel,16,557,841.6,0,0,0,0
242,555.08,21,desktop,urban,Debit Card,health,12,419,348.83,0,0,0,0
243,424.73,4,mobile,urban,Credit Card,food,15,909,464.08,0,0,0,0
244,591.82,6,desktop,semi-urban,Debit Card,recharge,11,30,589.99,0,0,1,0
245,426.16,14,mobile,urban,Debit Card,groceries,8,715,398.48,0,0,0,0
246,1634.63,3,mobile,semi-urban,Debit Card,groceries,25,535,1571.87,0,0,0,0
247,1814.37,11,mobile,semi-urban,Net Banking,education,22,797,2170.78,1,0,0,0
248,755.68,8,desktop,semi-urban,Paytm Wallet,fashion,15,1241,457.54,0,0,0,0
249,933.0,16,tablet,semi-urban,Debit Card,recharge,26,76,960.66,0,0,0,0
250,1282.53,7,mobile,semi-urban,Credit Card,food,21,203,1200.29,0,0,0,0
251,942.85,16,mobile,urban,UPI,electronics,16,441,1066.42,0,0,0,0
252,330.71,21,mobile,rural,Credit Card,groceries,8,713,373.99,0,0,0,0
253,130.89,18,mobile,urban,UPI,gaming,14,232,143.4,1,1,0,0
254,7285.37,1,tablet,urban,Net Banking,travel,36,356,1103.98,4,1,1,1
255,760.48,12,mobile,semi-urban,UPI,fashion,1,136,914.96,1,0,0,0
256,1360.86,12,desktop,urban,Debit Card,recharge,8,803,1751.96,0,0,0,0
257,1229.75,10,desktop,rural,Credit Card,entertainment,2,332,1581.18,0,0,0,0
258,971.01,6,mobile,urban,Paytm Wallet,education,22,474,1031.55,0,0,0,0
259,414.38,9,desktop,urban,Net Banking,groceries,15,579,424.28,0,0,0,0
260,1957.82,7,mobile,urban,Net Banking,entertainment,1,1095,1291.96,0,0,0,0
261,733.95,6,desktop,urban,Credit Card,travel,5,1033,1097.01,0,0,0,0
262,10412.66,23,desktop,urban,Credit Card,recharge,37,102,4907.43,3,0,0,1
263,1519.86,19,mobile,urban,UPI,entertainment,21,854,1577.99,0,0,0,0
264,245.2,13,desktop,urban,Debit Card,travel,25,186,260.38,0,0,0,0
265,1713.46,10,mobile,urban,UPI,recharge,20,300,2288.69,0,0,0,0
266,857.21,21,mobile,semi-urban,UPI,gaming,7,537,864.56,0,0,0,0
267,667.86,17,mobile,semi-urban,Debit Card,entertainment,21,447,740.13,0,0,1,0
268,327.16,16,tablet,urban,UPI,gaming,28,901,436.21,0,1,0,0
269,269.01,8,mobile,urban,Credit Card,health,18,768,200.34,0,0,0,0
270,9838.81,23,tablet,semi-urban,UPI,entertainment,35,203,1367.72,4,0,1,1
271,1065.98,13,desktop,urban,UPI,health,22,1080,703.25,1,1,0,0
272,1763.37,18,desktop,urban,Credit Card,recharge,8,254,2386.48,0,0,0,0
273,1351.29,11,mobile,semi-urban,UPI,recharge,18,747,1108.35,0,0,0,0
274,792.2,16,mobile,urban,Credit Card,fashion,1,480,754.35,0,0,0,0
275,405.39,0,desktop,semi-urban,Credit Card,electronics,21,938,261.4,0,0,0,0
276,20683.03,22,desktop,semi-urban,Paytm Wallet,gaming,12,16,9328.54,3,1,1,1
277,300.23,23,mobile,rural,Credit Card,fashion,20,258,238.67,0,0,0,0
278,337.59,0,mobile,semi-urban,UPI,gaming,7,287,349.79,1,0,0,0
279,902.36,11,tablet,rural,Debit Card,fashion,21,446,596.95,0,0,0,0
280,1397.27,13,desktop,urban,UPI,electronics,6,30,1390.93,1,0,0,0
281,815.61,9,mobile,semi-urban,Paytm Wallet,groceries,24,380,881.87,0,0,0,0
282,2313.9,15,desktop,rural,UPI,gaming,28,844,3171.0,0,0,0,0
283,1156.22,15,mobile,urban,Paytm Wallet,recharge,13,693,1279.24,0,0,0,0
284,1097.19,13,desktop,urban,Net Banking,food,23,241,1520.83,0,0,0,0
285,1368.25,19,mobile,urban,Debit Card,gaming,1,900,1691.75,1,0,1,0
286,464.71,12,tablet,semi-urban,Debit Card,education,17,61,317.56,0,1,0,0
287,201.61,12,desktop,semi-urban,UPI,entertainment,21,30,158.93,0,0,0,0
288,174.17,6,mobile,urban,UPI,groceries,10,30,249.11,0,1,0,0
289,8485.22,23,desktop,urban,Credit Card,gaming,35,174,3100.57,2,1,1,1
290,9299.23,0,desktop,semi-urban,UPI,groceries,25,79,2078.47,5,1,1,1
291,545.37,12,mobile,urban,Credit Card,food,9,171,657.81,1,0,0,0
292,297.94,8,mobile,semi-urban,Credit Card,education,20,863,418.55,0,0,0,0
293,330.73,18,mobile,urban,UPI,gaming,30,415,448.08,0,0,0,0
294,1059.42,8,desktop,urban,Debit Card,electronics,15,30,1338.06,1,0,0,0
295,830.11,18,mobile,rural,Paytm Wallet,gaming,24,30,719.45,1,0,1,0
296,494.98,21,mobile,semi-urban,Net Banking,education,1,343,712.43,0,1,0,0
297,323.84,14,mobile,semi-urban,Net Banking,electronics,8,373,264.41,0,0,0,0
298,1720.23,18,mobile,semi-urban,Credit Card,gaming,18,1049,1280.17,0,0,0,0
299,1029.91,18,desktop,urban,UPI,entertainment,15,30,1456.65,0,0,0,0
300,665.54,10,desktop,urban,Credit Card,fashion,9,586,955.51,0,0,0,0
301,981.35,16,mobile,rural,UPI,groceries,13,765,1044.38,0,0,1,0
302,1263.48,13,mobile,rural,UPI,education,10,30,970.64,0,0,1,0
303,619.23,10,desktop,urban,Debit Card,fashion,14,780,413.47,0,0,0,0
304,205.87,14,mobile,urban,Debit Card,gaming,27,913,228.98,0,0,0,0
305,200.73,3,mobile,rural,Debit Card,travel,16,765,161.04,1,0,0,0
306,1163.59,12,desktop,urban,UPI,education,23,299,894.41,1,0,0,0
307,550.37,2,tablet,urban,Credit Card,fashion,21,424,701.93,1,0,0,0
308,561.7,7,mobile,urban,Net Banking,groceries,26,853,663.23,0,0,0,0
309,151.97,9,mobile,urban,Net Banking,entertainment,11,822,134.37,0,1,0,0
310,459.05,15,desktop,rural,Paytm Wallet,food,28,605,585.93,0,0,1,0
311,281.02,16,desktop,urban,UPI,health,23,619,209.99,0,0,0,0
312,2059.18,9,desktop,semi-urban,UPI,electronics,9,846,1294.12,0,0,0,0
313,319.38,7,mobile,rural,Debit Card,travel,5,512,365.94,0,0,0,0
314,284.07,0,mobile,semi-urban,UPI,gaming,26,821,290.85,0,0,0,0
315,294.23,14,mobile,urban,Credit Card,groceries,19,920,331.17,0,0,0,0
316,821.88,4,desktop,urban,UPI,recharge,8,1478,881.23,0,0,0,0
317,1957.29,14,desktop,urban,Credit Card,electronics,11,1251,2555.24,0,0,0,0
318,409.61,10,mobile,semi-urban,Paytm Wallet,gaming,14,632,476.9,0,0,0,0
319,1034.19,7,desktop,semi-urban,UPI,groceries,21,391,1422.7,0,0,0,0
320,405.73,14,desktop,urban,Paytm Wallet,electronics,6,903,403.78,0,0,0,0
321,131.83,4,mobile,urban,UPI,food,9,209,100.61,0,0,0,0
322,260.32,8,mobile,urban,UPI,gaming,7,751,343.64,1,0,0,0
323,759.12,18,tablet,rural,UPI,recharge,5,30,536.55,0,0,0,0
324,1747.24,15,mobile,urban,UPI,recharge,24,596,1444.96,0,0,0,0
325,333.31,4,desktop,rural,UPI,groceries,11,30,221.66,1,0,0,0
326,343.9,1,desktop,urban,UPI,travel,7,490,270.42,1,0,0,0
327,3184.24,14,mobile,urban,Paytm Wallet,food,19,1038,4653.83,0,0,0,0
328,887.59,11,tablet,rural,Debit Card,gaming,20,174,776.77,0,0,0,0
329,724.82,15,mobile,urban,Credit Card,health,10,30,655.0,0,0,0,0
