transaction_id,amount,transaction_time,device_type,location,payment_method,merchant_category,transaction_frequency,account_age_days,avg_transaction_amount,failed_transactions_24h,is_international,device_change,is_fraud
62,949.68,10,mobile,semi-urban,Amazon Pay Wallet,food,46,910,5447.26,4,0,0,0
63,5293.67,0,tablet,rural,Credit Card,electronics,18,1081,1683.45,1,0,0,0
64,1323.68,18,mobile,urban,Debit Card,grocery,20,2348,4155.8,11,0,0,0
65,989.41,0,mobile,urban,Net Banking,food,25,995,3666.75,11,0,0,0
66,2347.22,23,mobile,urban,Net Banking,food,17,1096,2441.79,6,0,0,0
67,455.69,23,mobile,semi-urban,Paytm Wallet,electronics,22,786,2901.94,7,0,0,0
68,4861.45,3,mobile,urban,UPI,entertainment,11,2515,137.4,8,0,0,0
69,232.43,23,mobile,urban,Amazon Pay Wallet,grocery,48,2819,2317.61,0,0,0,0
70,13002.44,6,mobile,rural,Credit Card,grocery,20,1099,1350.95,3,0,1,0
71,4438.45,19,mobile,urban,Credit Card,grocery,22,768,782.06,8,0,0,0
72,664.62,0,mobile,semi-urban,Debit Card,fashion,33,1962,3494.15,5,0,0,0
73,16.61,10,mobile,semi-urban,Credit Card,fashion,17,1836,4662.63,1,0,0,0
74,5069.69,12,mobile,rural,PhonePe Wallet,grocery,6,215,1602.63,11,0,0,0
75,3681.29,2,tablet,semi-urban,Amazon Pay Wallet,grocery,29,2260,887.32,1,1,0,0
76,3916.99,23,desktop,urban,Debit Card,grocery,27,2266,207.5,1,0,0,0
77,4425.64,7,desktop,urban,PhonePe Wallet,travel,47,612,1295.07,4,0,1,0
78,230.79,11,mobile,urban,Net Banking,fashion,23,1471,2484.68,10,0,1,0
79,1331.68,1,mobile,rural,Credit Card,electronics,19,1097,669.81,5,0,0,0
80,369.45,22,tablet,urban,Debit Card,travel,32,370,5483.27,6,0,1,0
81,5965.59,0,desktop,urban,Paytm Wallet,electronics,18,1370,1680.04,1,0,0,0
82,2928.9,19,mobile,rural,UPI,fashion,13,330,531.99,7,0,0,0
83,1205.46,13,mobile,rural,PhonePe Wallet,food,18,1972,278.75,2,0,1,0
84,197,14,mobile,rural,Credit Card,travel,38,1114,402.76,8,0,0,0
85,1117.47,22,mobile,urban,Credit Card,entertainment,12,1391,462.16,1,0,0,0
86,1179.94,3,desktop,urban,Credit Card,electronics,33,268,2225.11,9,0,0,0
87,3923.63,19,mobile,urban,Debit Card,electronics,15,1139,2949.14,7,0,0,0
88,3044.67,6,mobile,urban,Net Banking,food,21,2168,1330.04,2,0,0,0
89,6546.76,0,tablet,semi-urban,UPI,travel,3,1717,8739.58,3,0,0,0
90,1917.2,4,desktop,urban,Credit Card,grocery,14,2765,2829.7,7,0,0,0
91,382.12,13,desktop,urban,Net Banking,travel,33,909,168.23,10,0,0,0
92,3747.38,5,mobile,semi-urban,Amazon Pay Wallet,food,16,861,834.94,2,0,0,0
93,4291.18,22,mobile,rural,Net Banking,travel,28,175,1197,2,0,0,0
94,2471.66,6,desktop,rural,Paytm Wallet,fashion,27,718,2721.16,11,0,0,0
95,4421.67,11,desktop,semi-urban,Credit Card,food,31,274,680.63,1,0,0,0
96,2042.44,6,desktop,semi-urban,Paytm Wallet,grocery,5,1648,6137.93,10,0,0,0
97,2219.04,17,mobile,urban,Amazon Pay Wallet,food,25,1927,1156.64,5,0,1,0
98,1673.44,21,desktop,urban,Amazon Pay Wallet,entertainment,47,2438,1745.7,9,0,0,0
99,77.24,15,mobile,semi-urban,PhonePe Wallet,food,1,682,39.4,11,0,0,0
100,342.5,8,mobile,urban,Paytm Wallet,entertainment,11,670,4112.39,1,0,1,0
101,95.8,6,mobile,rural,PhonePe Wallet,fashion,16,1143,56.58,6,0,0,0
102,3035.19,22,mobile,rural,Paytm Wallet,food,38,2149,3511.82,5,1,0,0
103,1132.19,13,desktop,semi-urban,Amazon Pay Wallet,food,27,465,5249.76,1,0,0,0
104,2131.31,1,mobile,rural,Amazon Pay Wallet,grocery,33,2842,3101.83,5,0,0,0
105,7143.8,12,mobile,semi-urban,Net Banking,travel,36,249,298.8,4,0,0,0
106,860.22,6,mobile,urban,Debit Card,food,15,2534,2281.91,1,0,0,0
107,1584.85,18,mobile,rural,Credit Card,travel,10,1256,2146.62,4,0,1,0
108,4226.25,1,mobile,urban,UPI,entertainment,37,808,1790.78,5,0,0,0
109,779.42,5,mobile,rural,Net Banking,food,27,2453,466.4,10,0,0,0
110,240.31,11,mobile,rural,UPI,fashion,6,1482,1396.42,2,0,0,0
111,1026.42,1,desktop,urban,PhonePe Wallet,fashion,32,2965,1083.89,11,0,0,0
112,527.43,16,desktop,urban,Credit Card,grocery,10,1653,3503.25,3,0,0,0
113,7964.85,11,desktop,semi-urban,PhonePe Wallet,electronics,14,1018,438.36,9,1,0,0
114,4952.66,19,tablet,urban,Paytm Wallet,travel,4,2476,2715.04,10,0,0,0
115,3010.48,8,desktop,urban,UPI,entertainment,5,2037,151.44,3,0,1,0
116,6154.56,13,mobile,urban,PhonePe Wallet,food,7,2921,6506.92,0,1,0,0
117,4883.91,2,mobile,urban,Credit Card,travel,19,411,395.3,5,0,0,0
118,619.49,2,mobile,semi-urban,Paytm Wallet,food,48,1856,2440.65,11,0,0,0
119,6692.44,21,mobile,semi-urban,UPI,travel,39,2696,2543.64,11,0,0,0
120,2325.3,15,desktop,semi-urban,PhonePe Wallet,grocery,19,2057,711.77,8,0,1,0
121,4942.04,5,tablet,urban,Paytm Wallet,travel,10,1075,648.49,5,0,0,0
122,6792.73,7,mobile,semi-urban,Net Banking,entertainment,3,885,158.98,6,0,1,0
123,1148.19,12,mobile,semi-urban,Net Banking,fashion,25,2788,745.28,2,0,1,0
124,349.78,21,desktop,rural,Paytm Wallet,grocery,33,1673,639.8,0,0,0,0
125,776.06,7,mobile,urban,UPI,electronics,11,125,2458.29,0,0,0,0
126,1671.17,7,tablet,semi-urban,UPI,grocery,26,1701,688.68,9,0,0,1
127,5111.49,6,tablet,rural,PhonePe Wallet,entertainment,45,1783,1117.77,11,0,0,0
128,5914.03,4,mobile,urban,Net Banking,food,33,150,1709.16,3,1,0,0
129,20.93,19,mobile,urban,UPI,travel,20,1334,4158.36,8,0,1,0
130,2144.63,0,desktop,rural,Debit Card,electronics,27,2520,9587.91,9,0,0,0
131,1620.82,12,mobile,urban,UPI,food,27,2592,1230.36,7,0,0,0
132,753.5,21,tablet,rural,Amazon Pay Wallet,electronics,4,1676,431.71,8,0,0,0
133,383.04,7,mobile,rural,PhonePe Wallet,food,33,1079,3240.52,10,0,0,0
134,1235.73,10,desktop,urban,UPI,fashion,10,1667,3120.64,4,1,0,0
135,8589.36,19,mobile,semi-urban,PhonePe Wallet,food,36,1794,792.78,2,0,0,0
136,1171.15,6,mobile,urban,UPI,travel,7,1738,1383.18,4,0,0,0
137,2194.36,18,mobile,urban,UPI,travel,38,2986,2813.33,2,0,0,0
138,3642.26,20,desktop,rural,PhonePe Wallet,electronics,11,119,5018,8,0,1,0
139,1355.92,6,mobile,urban,UPI,food,5,522,4539.59,2,1,0,0
140,10703.39,15,mobile,urban,Credit Card,electronics,38,2622,3945.76,0,0,0,0
141,9846.03,11,mobile,urban,UPI,fashion,18,1641,2955.8,6,0,0,0
142,870.18,10,mobile,semi-urban,PhonePe Wallet,travel,45,1413,745.24,6,0,0,0
143,2062.98,8,desktop,semi-urban,Debit Card,food,3,2765,3103.7,7,0,0,0
144,1073.79,6,desktop,rural,PhonePe Wallet,food,2,2876,1542.62,4,0,1,0
145,1005.75,19,mobile,urban,Credit Card,food,37,1150,2066.24,5,1,0,0
146,112.75,21,mobile,rural,PhonePe Wallet,food,32,2306,1121.97,6,0,0,0
147,2821.48,13,tablet,rural,Credit Card,grocery,43,2040,2587.14,2,0,0,0
148,2095.56,3,mobile,semi-urban,Net Banking,food,9,1848,917.66,1,0,0,0
149,158.55,2,desktop,urban,Debit Card,food,42,925,3045.25,2,0,0,0
150,979.88,8,mobile,urban,PhonePe Wallet,electronics,46,103,2446.54,10,0,1,0
151,7166.58,4,mobile,rural,Net Banking,entertainment,10,2531,940.56,3,0,0,0
152,821.58,23,desktop,rural,Net Banking,electronics,7,2949,362.67,9,0,0,0
153,469.59,2,tablet,rural,Debit Card,electronics,3,2274,1879.47,1,0,0,0
154,2016.82,0,mobile,rural,PhonePe Wallet,electronics,13,1775,2149.91,3,0,1,0
155,12732.11,17,mobile,rural,Debit Card,fashion,42,487,1934.94,9,0,0,0
156,831.43,12,mobile,rural,UPI,entertainment,37,1784,12982.96,5,0,0,0
157,3345.47,3,mobile,semi-urban,Amazon Pay Wallet,fashion,22,1963,13733.07,8,0,0,0
158,4301.66,17,mobile,urban,UPI,food,27,1340,843.83,6,0,0,0
159,814,8,desktop,urban,Net Banking,fashion,12,1239,1665.47,11,0,0,0
160,3908.25,6,mobile,urban,Debit Card,entertainment,37,222,2171.39,7,0,0,0
161,1375.57,14,mobile,urban,PhonePe Wallet,food,25,1767,1376.83,11,0,0,0
162,3001.51,12,desktop,urban,Credit Card,fashion,49,868,189.91,8,0,0,0
163,3011.51,1,tablet,urban,Amazon Pay Wallet,electronics,33,460,4843.96,7,0,0,0
164,2302.16,10,mobile,semi-urban,Amazon Pay Wallet,food,13,2309,314.77,9,0,0,0
165,283.89,3,mobile,urban,Amazon Pay Wallet,entertainment,9,2960,4173.74,3,0,0,0
166,5410.93,21,mobile,semi-urban,Debit Card,entertainment,38,390,1629.99,2,0,1,0
167,1160.43,17,mobile,semi-urban,Net Banking,travel,3,542,2046.83,4,0,0,0
168,619.3,2,desktop,urban,Net Banking,entertainment,21,365,1704.82,2,0,0,0
169,124.89,1,desktop,semi-urban,Debit Card,grocery,4,1140,1397.17,3,0,0,0
170,2681.34,11,mobile,urban,Net Banking,grocery,2,1858,2207.32,3,0,1,0
171,3395.56,3,mobile,rural,Amazon Pay Wallet,fashion,33,482,3902.05,11,0,0,0
172,50.18,13,desktop,urban,Debit Card,travel,12,983,1841.05,0,0,0,0
173,2152.89,15,mobile,rural,UPI,food,12,2419,6371.95,7,0,0,0
174,770.47,20,mobile,semi-urban,UPI,entertainment,6,1243,194.65,0,0,0,0
175,3108.37,3,mobile,urban,Paytm Wallet,electronics,21,2109,1438.15,5,0,0,0
176,574.81,11,mobile,urban,Paytm Wallet,fashion,46,1702,4445.29,8,0,0,0
177,3522.64,18,mobile,urban,Debit Card,grocery,41,1137,812.92,6,0,0,0
178,1466.88,18,mobile,urban,Net Banking,food,11,415,277.79,4,0,0,0
179,8281.03,11,mobile,semi-urban,Debit Card,fashion,30,1329,70.17,7,0,0,0
180,443.83,14,mobile,rural,Paytm Wallet,food,30,2151,23.56,2,0,1,0
181,1251.4,2,mobile,semi-urban,Paytm Wallet,entertainment,15,5,2163.21,9,0,0,0
182,361.33,18,mobile,semi-urban,Amazon Pay Wallet,food,13,2329,1041.72,7,0,0,0
183,7758.57,21,mobile,urban,Credit Card,food,24,1018,167.77,10,0,0,0
184,6295,14,desktop,semi-urban,Net Banking,fashion,21,1423,3814.99,6,0,0,0
185,894.98,19,tablet,urban,Credit Card,food,33,915,3288.1,8,1,1,0
186,3236.29,22,desktop,rural,Paytm Wallet,electronics,33,508,882.1,3,0,0,0
187,5098.45,6,mobile,semi-urban,Credit Card,grocery,32,1712,613.51,0,0,0,0
188,2430.4,3,desktop,urban,UPI,entertainment,9,2282,6824.08,3,0,0,0
189,2262.84,0,desktop,urban,PhonePe Wallet,grocery,14,2329,4025.21,10,0,0,0
190,830.63,8,tablet,semi-urban,UPI,fashion,22,1632,486.74,5,0,0,0
191,293.18,6,mobile,semi-urban,Amazon Pay Wallet,grocery,11,172,7870.56,2,0,0,0
192,6825.37,21,mobile,semi-urban,Net Banking,grocery,31,1683,604.39,11,0,0,0
193,6920.32,4,mobile,semi-urban,UPI,electronics,39,2782,194.53,11,0,0,0
194,3008.01,8,mobile,rural,PhonePe Wallet,fashion,4,225,1548.11,3,0,1,0
195,1242.14,5,mobile,rural,Paytm Wallet,food,34,58,1302.66,4,0,0,0
196,1288.7,23,tablet,urban,UPI,entertainment,9,2100,2797.08,9,0,0,0
197,3883.4,22,tablet,urban,Paytm Wallet,electronics,32,269,157.51,3,0,0,0
198,6822.29,11,desktop,urban,Paytm Wallet,travel,7,1337,1195.83,1,0,0,0
199,6543.4,12,mobile,urban,Debit Card,entertainment,47,1174,467.92,10,0,1,0
200,4540.69,0,mobile,rural,Net Banking,travel,38,2379,604.2,8,0,0,1
201,3081.93,14,desktop,rural,Amazon Pay Wallet,food,10,2048,5516.83,7,0,0,0
202,263.68,15,mobile,rural,UPI,entertainment,47,2983,2264.36,5,0,0,0
203,528.88,1,mobile,urban,Credit Card,travel,23,421,1915.25,6,0,0,0
204,6864.69,8,mobile,semi-urban,Paytm Wallet,fashion,16,2404,1008.17,2,0,0,0
205,2797.48,9,mobile,urban,Net Banking,travel,8,2237,245.84,6,0,0,0
206,27.72,19,mobile,semi-urban,PhonePe Wallet,food,48,1943,6281.2,11,1,0,0
207,320.99,15,mobile,urban,UPI,food,48,1565,56.08,11,0,0,0
208,3267.49,14,tablet,urban,Debit Card,fashion,16,337,1678.6,5,0,0,0
209,15.22,2,desktop,rural,Paytm Wallet,entertainment,24,954,4384.48,9,0,0,0
210,525.95,1,tablet,semi-urban,PhonePe Wallet,grocery,44,119,4733.64,0,0,1,0
211,2387.09,7,mobile,semi-urban,Paytm Wallet,fashion,5,2127,1034.77,1,0,0,0
212,3531.95,15,tablet,semi-urban,Credit Card,electronics,34,852,1056.02,3,0,1,0
213,3166.32,22,mobile,semi-urban,Net Banking,entertainment,40,1881,1994.73,11,0,0,0
214,761.85,8,mobile,urban,PhonePe Wallet,travel,12,913,456.05,11,0,0,0
215,3736.25,2,mobile,urban,UPI,entertainment,38,2917,122.54,8,0,0,0
216,812.47,16,tablet,semi-urban,Debit Card,grocery,29,948,1817.49,1,1,0,0
217,1180.9,12,mobile,semi-urban,Net Banking,grocery,14,2931,1282.02,4,0,0,0
218,4117.07,15,mobile,semi-urban,Credit Card,entertainment,41,48,1131.38,5,0,0,0
219,3146.32,4,mobile,urban,PhonePe Wallet,travel,32,2242,1275.44,4,0,0,0
220,5675.87,4,mobile,semi-urban,UPI,grocery,38,926,279.48,0,0,0,0
221,3215.44,2,mobile,urban,Net Banking,entertainment,4,2198,2986.37,3,0,0,0
222,2520.13,12,mobile,semi-urban,Amazon Pay Wallet,electronics,5,725,5727.09,0,0,0,0
223,295.07,7,mobile,semi-urban,Credit Card,fashion,7,1860,2552.51,8,0,0,0
224,1375.25,7,mobile,urban,PhonePe Wallet,fashion,3,272,11120.57,6,0,0,0
225,924.48,16,mobile,urban,Net Banking,food,38,2423,2332.43,3,0,1,0
226,839.1,14,mobile,urban,Paytm Wallet,entertainment,19,1617,53.82,5,0,0,0
227,10836.93,3,tablet,semi-urban,Net Banking,travel,35,631,6.82,0,0,1,0
228,1498.16,21,mobile,urban,Credit Card,travel,7,938,665.07,0,0,0,0
229,6678.17,17,mobile,rural,PhonePe Wallet,food,26,825,2319.1,6,0,0,0
230,2992,6,tablet,semi-urban,PhonePe Wallet,food,47,2654,146.46,2,0,0,0
231,4751.48,9,mobile,semi-urban,Debit Card,electronics,46,2259,3775.81,1,0,1,0
232,2095.31,0,mobile,urban,UPI,electronics,42,696,2201.53,6,0,0,0
233,2580.47,3,mobile,rural,Net Banking,fashion,36,2214,655.03,4,0,0,0
234,2034.88,10,mobile,urban,PhonePe Wallet,entertainment,41,2408,984.78,11,0,0,0
235,651.64,14,tablet,urban,Paytm Wallet,travel,32,770,1648.95,3,0,0,0
236,3845.29,14,desktop,urban,Paytm Wallet,food,27,1321,375.15,4,0,0,0
237,988.73,22,mobile,rural,PhonePe Wallet,electronics,38,1057,519.99,0,0,0,0
238,73.85,2,desktop,semi-urban,Credit Card,electronics,35,2338,1424.12,10,0,0,0
239,3110.91,18,mobile,urban,Paytm Wallet,food,42,108,6026.55,11,0,1,0
240,584.8,19,desktop,semi-urban,Amazon Pay Wallet,travel,7,719,1168.76,10,0,1,0
241,8463.25,23,mobile,semi-urban,Net Banking,grocery,37,796,4294.54,1,0,0,0
242,9232.69,13,mobile,semi-urban,Amazon Pay Wallet,grocery,27,932,2414.28,4,0,0,0
243,7390.53,2,mobile,urban,Credit Card,food,35,1384,904,0,0,0,0
244,1386.86,7,desktop,semi-urban,PhonePe Wallet,fashion,21,2642,5161.33,7,0,0,0
245,46.73,9,desktop,semi-urban,Paytm Wallet,travel,27,2702,3031.89,9,0,0,0
246,7906.57,8,mobile,rural,Amazon Pay Wallet,electronics,28,194,1763.49,6,0,0,0
247,1676.81,23,desktop,urban,Amazon Pay Wallet,electronics,11,2308,736.37,4,0,0,0
248,10202.53,14,desktop,urban,PhonePe Wallet,food,34,1882,1127.87,11,0,0,0
249,9941.21,23,mobile,urban,UPI,food,45,965,742.44,7,0,0,0
250,5752.16,8,desktop,urban,PhonePe Wallet,food,45,2288,775.17,6,0,0,0
251,1046.33,3,mobile,urban,Amazon Pay Wallet,electronics,12,562,580.06,9,0,0,0
252,1458.88,11,tablet,urban,Paytm Wallet,electronics,45,2446,3529.17,3,0,1,0
253,5714.18,18,desktop,semi-urban,Net Banking,travel,7,2205,2560.5,3,0,0,0
254,1143.44,23,tablet,rural,Debit Card,electronics,15,835,64.28,6,0,0,0
255,557.16,0,desktop,urban,Amazon Pay Wallet,travel,49,38,347.33,10,0,0,0
256,2441.21,13,desktop,urban,UPI,food,12,2924,151.23,3,0,0,0
257,8253.88,9,mobile,urban,UPI,travel,42,2773,938.73,11,0,0,0
258,3572.48,0,mobile,urban,Amazon Pay Wallet,fashion,24,2981,3075.81,4,0,0,0
259,2532.34,3,mobile,urban,PhonePe Wallet,electronics,9,2601,329.14,4,0,0,0
260,306.68,9,mobile,semi-urban,Paytm Wallet,entertainment,48,768,194.26,5,0,0,0
261,2863.59,2,mobile,semi-urban,Credit Card,entertainment,22,1364,878.16,6,0,0,0
262,13831.71,15,desktop,urban,Paytm Wallet,travel,41,1791,479.2,0,0,0,0
263,452.76,17,desktop,rural,Net Banking,grocery,47,438,3292.92,9,0,0,0
264,2191.49,11,mobile,urban,Credit Card,grocery,38,2125,1773.68,8,0,0,0
265,6295.83,20,mobile,semi-urban,Paytm Wallet,grocery,39,480,219.1,8,0,0,0
266,4050.1,18,mobile,semi-urban,Paytm Wallet,grocery,40,631,35.53,2,0,0,0
267,3582.22,8,mobile,semi-urban,Paytm Wallet,entertainment,27,156,458.2,8,0,1,0
268,3636.86,23,mobile,urban,UPI,fashion,39,1708,431.59,0,0,1,0
269,1336.48,19,mobile,semi-urban,UPI,entertainment,9,333,2735.87,3,0,0,0
270,1042.69,4,mobile,rural,Paytm Wallet,electronics,8,1741,2242.83,3,0,1,0
271,4972.12,4,desktop,urban,Credit Card,fashion,27,580,267.89,1,0,1,0
272,4983.98,7,mobile,semi-urban,PhonePe Wallet,grocery,29,2551,90.04,0,0,0,0
273,6053.85,6,desktop,semi-urban,Net Banking,fashion,5,2944,1870.32,0,0,0,0
274,7333.85,18,mobile,urban,Net Banking,grocery,11,1417,1376.67,7,1,1,0
275,2148.28,21,mobile,rural,UPI,electronics,36,333,536.5,3,1,1,0
276,2088.55,21,mobile,rural,UPI,electronics,25,1959,203.37,1,0,0,0
277,4802.85,17,tablet,urban,Credit Card,fashion,36,1924,1353.58,11,1,0,0
278,3149.16,14,mobile,urban,Paytm Wallet,entertainment,41,2581,1207.13,6,0,0,0
279,3631.65,0,mobile,semi-urban,UPI,entertainment,29,1882,3435.5,1,0,0,0
280,4765.86,6,mobile,semi-urban,Amazon Pay Wallet,grocery,4,1551,2826.52,10,0,0,0
281,6621.97,18,mobile,semi-urban,Paytm Wallet,travel,23,632,2876.04,11,0,0,0
282,1237.45,4,mobile,urban,Net Banking,fashion,25,164,1433.58,2,0,0,0
283,1412.81,7,mobile,semi-urban,Net Banking,fashion,14,1873,1474.26,5,0,0,0
284,296.09,4,desktop,semi-urban,UPI,electronics,46,2075,6602.97,2,0,1,0
285,2590.24,4,mobile,rural,Credit Card,electronics,39,2965,3162.15,10,0,0,0
286,109.81,4,desktop,semi-urban,Paytm Wallet,grocery,21,2390,16951.87,10,0,0,0
287,1879.82,10,tablet,urban,Credit Card,travel,31,908,644.66,8,0,0,0
288,2346.88,6,desktop,semi-urban,Net Banking,electronics,4,1966,2231.07,6,0,0,0
289,1012.89,1,mobile,semi-urban,UPI,travel,19,744,1363.12,2,0,1,0
290,2680.9,16,mobile,semi-urban,Amazon Pay Wallet,grocery,7,2140,284.38,0,0,0,0
291,92.93,10,mobile,urban,Amazon Pay Wallet,fashion,1,1259,703,10,0,1,0
292,114.19,19,desktop,urban,Paytm Wallet,electronics,9,1060,284.17,1,0,0,0
293,5188.05,4,mobile,rural,UPI,grocery,5,960,3320.48,8,0,0,0
294,1339.76,6,desktop,rural,Paytm Wallet,travel,5,2734,5409.22,0,0,0,0
295,407.67,0,mobile,semi-urban,PhonePe Wallet,travel,39,1769,2919.98,5,0,0,0
296,2215.96,8,tablet,semi-urban,PhonePe Wallet,food,32,447,6306.47,2,0,0,0
297,4408.94,10,mobile,semi-urban,Net Banking,travel,45,2087,1403.87,1,0,0,0
298,729.35,11,mobile,semi-urban,Amazon Pay Wallet,travel,38,2314,2512.21,1,1,0,0
299,2925.66,9,mobile,urban,Amazon Pay Wallet,food,7,1026,4619.17,10,0,1,0
300,267.63,19,mobile,urban,Credit Card,electronics,11,793,92.45,3,0,0,0
301,159.2,21,mobile,rural,Credit Card,food,6,20,1063.14,0,0,0,0
302,2273.73,10,desktop,urban,PhonePe Wallet,fashion,11,2819,88.19,8,0,0,0
303,2333.73,0,mobile,semi-urban,Net Banking,entertainment,34,1727,935.42,11,0,0,0
304,3043.61,19,mobile,semi-urban,PhonePe Wallet,electronics,49,137,902.91,11,0,0,0
305,3884.88,4,mobile,semi-urban,Amazon Pay Wallet,travel,48,2764,149.14,6,1,0,0
306,11170.67,14,mobile,urban,Paytm Wallet,food,40,516,1673.68,2,0,0,0
307,2178.87,23,mobile,urban,Net Banking,travel,33,26,771.86,3,0,0,0
