amount,payment_method,merchant_category,device_new,location_change,transaction_time,is_fraud
17416.54,UPI,Finance & Investments,1,1,Night,1
193366.14,UPI,Healthcare,0,1,Day,0
156566.79,Credit Card,Utilities & Bills,1,1,Day,1
20387.91,NetBanking,Grocery,1,1,Night,1
93942.41,Credit Card,Utilities & Bills,0,1,Day,0
54325.32,NetBanking,Subscriptions,1,0,Day,0
107598.33,Credit Card,Shopping,1,0,Night,1
182696.44,Credit Card,Utilities & Bills,0,1,Night,1
172587.49,UPI,Gaming,0,1,Day,1
154841.22,Credit Card,Shopping,1,0,Day,0
51243.85,NetBanking,Finance & Investments,1,1,Day,1
27256.12,Debit Card,Travel & Transport,0,0,Day,0
174949.31,UPI,Food & Dining,0,1,Night,1
27281.06,Credit Card,Shopping,1,0,Day,0
73417.58,Credit Card,Finance & Investments,1,1,Night,1
151428.83,NetBanking,Education,0,0,Day,0
135491.43,Credit Card,Food & Dining,1,0,Day,0
100599.17,UPI,Subscriptions,0,0,Night,0
143716.05,UPI,Entertainment,1,1,Day,1
81048.05,UPI,Gaming,1,0,Night,1
112104.03,Debit Card,Fuel,0,1,Night,1
72072.94,Debit Card,Fuel,1,0,Night,1
150595.96,Debit Card,Subscriptions,1,1,Day,1
135584.18,Debit Card,Luxury Goods,0,1,Day,1
182435.63,Debit Card,Gaming,1,1,Night,1
22383.58,UPI,Food & Dining,0,1,Day,0
144509.94,Debit Card,Gaming,1,0,Day,1
89075.99,UPI,Finance & Investments,1,1,Day,1
38343.24,UPI,Education,0,0,Night,0
107623.47,Credit Card,Subscriptions,1,0,Day,0
108568.53,Credit Card,Gaming,1,0,Night,1
159868.19,Credit Card,Fuel,0,0,Night,0
40468.26,UPI,Utilities & Bills,0,1,Night,0
107889.49,Debit Card,Grocery,0,0,Day,0
80281.04,NetBanking,Food & Dining,1,1,Night,1
163654.59,Credit Card,Entertainment,0,0,Day,0
193312.4,Debit Card,Fuel,0,0,Day,0
130346.59,UPI,Gaming,1,1,Night,1
4463.13,NetBanking,Luxury Goods,1,0,Day,0
125881.13,UPI,Food & Dining,0,1,Day,0
175932.25,NetBanking,Fuel,0,1,Night,1
38273.09,NetBanking,Utilities & Bills,1,1,Night,1
56523.63,Debit Card,Luxury Goods,0,0,Day,0
46233.06,NetBanking,Shopping,1,1,Day,0
150892.83,NetBanking,Luxury Goods,1,0,Night,1
143027.66,NetBanking,Luxury Goods,1,1,Night,1
106865.58,Credit Card,Shopping,0,0,Day,0
60917.34,NetBanking,Travel & Transport,0,1,Day,0
130701.78,NetBanking,Luxury Goods,1,0,Day,1
187621.03,Credit Card,Food & Dining,1,0,Night,1
114193.27,UPI,Gaming,1,1,Night,1
123543.18,Credit Card,Gaming,0,1,Night,1
54923.29,Credit Card,Grocery,0,0,Night,0
65739.88,Credit Card,Utilities & Bills,0,0,Night,0
159096.87,Debit Card,Gaming,1,1,Day,1
130886.87,NetBanking,Utilities & Bills,0,0,Night,0
51957.29,Credit Card,Gaming,1,0,Day,1
90404.06,NetBanking,Shopping,0,0,Day,0
167174.88,NetBanking,Food & Dining,1,0,Day,0
106398.58,Credit Card,Luxury Goods,0,0,Night,1
51796.77,Debit Card,Healthcare,1,0,Night,1
167112.84,NetBanking,Food & Dining,0,0,Day,0
35932.24,NetBanking,Fuel,1,0,Day,0
163238.5,Credit Card,Subscriptions,1,1,Day,1
46845.49,NetBanking,Entertainment,1,1,Day,0
38605.65,Credit Card,Grocery,1,0,Night,0
32099.65,UPI,Finance & Investments,1,1,Night,1
49091.53,Debit Card,Travel & Transport,1,1,Day,0
191405.79,Credit Card,Shopping,1,1,Night,1
112668.84,NetBanking,Electronics,1,0,Day,1
189610.37,Debit Card,Food & Dining,0,1,Day,0
158452.6,NetBanking,Shopping,1,0,Night,1
154994.28,Debit Card,Grocery,1,1,Day,1
162453.05,NetBanking,Education,1,1,Day,1
9466.62,Debit Card,Utilities & Bills,1,0,Day,0
32492.75,Debit Card,Electronics,0,1,Night,1
196438.37,Credit Card,Utilities & Bills,0,1,Day,0
48802.99,Credit Card,Gaming,1,0,Night,1
173760.52,Credit Card,Utilities & Bills,1,1,Night,1
76891.79,Debit Card,Education,0,1,Night,1
149354.6,Credit Card,Entertainment,0,1,Day,0
37426.77,NetBanking,Education,0,0,Night,0
77836.26,NetBanking,Gaming,0,1,Day,1
177938.21,Credit Card,Entertainment,1,0,Day,0
88163.59,Credit Card,Electronics,0,1,Night,1
47826.69,Debit Card,Subscriptions,1,1,Night,1
100588.81,Credit Card,Travel & Transport,0,0,Day,0
88989.85,UPI,Travel & Transport,0,1,Night,1
133427.73,UPI,Travel & Transport,0,0,Day,0
165349.86,Credit Card,Electronics,0,1,Day,1
77687.47,Credit Card,Electronics,0,0,Day,0
42157.52,UPI,Gaming,1,1,Day,1
32284.81,UPI,Food & Dining,1,1,Day,0
302.27,NetBanking,Gaming,1,1,Day,1
38737.3,NetBanking,Entertainment,0,1,Night,0
16669.05,UPI,Fuel,1,1,Day,0
75173.8,UPI,Grocery,1,0,Night,1
53750.19,NetBanking,Electronics,0,0,Day,0
157438.42,UPI,Utilities & Bills,0,1,Night,1
123248.86,Debit Card,Grocery,0,1,Day,0
70755.42,Credit Card,Fuel,1,1,Day,1
155254.31,Debit Card,Food & Dining,0,0,Day,0
40644.36,NetBanking,Luxury Goods,0,1,Day,0
164242.98,NetBanking,Finance & Investments,0,1,Night,1
109389.24,Debit Card,Electronics,0,0,Night,1
30762.92,Debit Card,Subscriptions,1,1,Night,1
713.14,Credit Card,Healthcare,0,0,Day,0
10010.74,Credit Card,Utilities & Bills,1,1,Night,1
143403.99,NetBanking,Luxury Goods,0,0,Night,1
122752.65,NetBanking,Subscriptions,0,1,Day,0
70579.2,Debit Card,Grocery,1,0,Day,0
95210.4,UPI,Subscriptions,0,0,Day,0
38173.95,Debit Card,Entertainment,0,0,Night,0
120494.51,Debit Card,Electronics,1,1,Night,1
51483.04,UPI,Grocery,0,0,Day,0
6914.68,Credit Card,Subscriptions,0,1,Day,0
101487.96,Credit Card,Subscriptions,1,1,Night,1
192223.59,UPI,Entertainment,0,1,Day,0
110909.5,Credit Card,Education,0,0,Night,0
47964.42,UPI,Luxury Goods,1,0,Night,1
96275.92,Credit Card,Luxury Goods,0,0,Night,1
143387.78,UPI,Food & Dining,1,1,Day,1
79432.3,NetBanking,Education,1,0,Day,0
84679.23,Debit Card,Entertainment,0,1,Night,1
187989.26,NetBanking,Utilities & Bills,1,1,Night,1
52363.43,Debit Card,Travel & Transport,0,0,Night,0
17651.81,UPI,Healthcare,1,0,Night,0
13797.7,UPI,Food & Dining,0,0,Day,0
150161.41,UPI,Healthcare,0,1,Day,0
49301.75,Debit Card,Grocery,0,0,Night,0
63889.76,UPI,Travel & Transport,1,0,Night,1
41822.51,NetBanking,Luxury Goods,0,0,Night,0
42611.78,Credit Card,Fuel,0,0,Night,0
50014.11,Debit Card,Entertainment,1,0,Day,0
173024.26,Credit Card,Shopping,1,0,Night,1
157676.15,UPI,Healthcare,0,1,Night,1
41797.75,NetBanking,Travel & Transport,0,1,Night,0
194980.33,Debit Card,Travel & Transport,1,0,Night,1
196286.12,NetBanking,Education,1,0,Night,1
157965.64,UPI,Food & Dining,1,1,Night,1
119546.34,Credit Card,Fuel,0,0,Night,0
11439.98,NetBanking,Electronics,0,1,Day,0
23497.35,NetBanking,Grocery,0,0,Night,0
155879.53,NetBanking,Food & Dining,0,1,Night,1
18928.25,Debit Card,Fuel,1,0,Night,0
81291.93,Debit Card,Travel & Transport,0,0,Night,0
67087.8,Debit Card,Food & Dining,0,1,Night,1
100203.86,NetBanking,Healthcare,0,0,Day,0
139314.4,Credit Card,Finance & Investments,0,0,Day,0
89922.61,Credit Card,Education,0,1,Day,0
124442.56,NetBanking,Grocery,0,0,Day,0
24874.49,UPI,Luxury Goods,1,0,Day,0
48449.93,Debit Card,Finance & Investments,0,0,Day,0
22912.77,Debit Card,Fuel,0,0,Day,0
134119.18,UPI,Subscriptions,0,0,Night,0
95709.86,Debit Card,Education,0,1,Day,0
79032.86,NetBanking,Finance & Investments,0,0,Day,0
177147.19,Credit Card,Food & Dining,0,1,Day,0
168165.45,NetBanking,Food & Dining,1,1,Night,1
9240.12,Debit Card,Travel & Transport,1,0,Day,0
161107.59,Credit Card,Finance & Investments,0,1,Night,1
90913.5,Debit Card,Electronics,0,1,Day,1
140263.03,Credit Card,Healthcare,0,1,Day,0
16441.47,Credit Card,Fuel,1,1,Day,0
82119.59,Credit Card,Finance & Investments,1,1,Day,1
190661.86,Debit Card,Grocery,1,0,Day,0
124028.56,UPI,Entertainment,0,0,Day,0
11516.52,Credit Card,Food & Dining,1,0,Day,0
53128.33,NetBanking,Grocery,0,1,Night,1
42938.92,UPI,Healthcare,1,1,Day,0
110802.83,Credit Card,Utilities & Bills,0,1,Day,0
54641.71,UPI,Finance & Investments,1,0,Day,0
46985.79,UPI,Subscriptions,0,0,Night,0
120635.19,Credit Card,Travel & Transport,1,0,Day,0
193039.05,UPI,Education,1,0,Day,0
192165.8,Credit Card,Gaming,0,0,Night,1
75813.56,NetBanking,Grocery,0,1,Night,1
102023.04,Credit Card,Electronics,1,0,Day,1
155186.15,Debit Card,Gaming,1,0,Night,1
130883.78,UPI,Subscriptions,1,1,Day,1
61979.16,NetBanking,Travel & Transport,1,1,Day,1
7632.73,UPI,Utilities & Bills,1,0,Day,0
188531.66,Debit Card,Luxury Goods,0,0,Day,0
160098.96,Debit Card,Luxury Goods,1,0,Day,1
126942.47,NetBanking,Shopping,0,0,Day,0
144215.56,UPI,Fuel,1,1,Day,1
110727.13,UPI,Utilities & Bills,0,0,Night,0
196064.04,NetBanking,Healthcare,0,1,Day,0
152650.42,UPI,Grocery,1,0,Day,0
103123.33,UPI,Shopping,1,1,Day,1
57446.34,UPI,Education,0,1,Night,1
80449.69,Debit Card,Electronics,1,1,Night,1
178118.32,UPI,Healthcare,0,0,Night,0
47563.94,Credit Card,Electronics,0,1,Night,1
14681.45,UPI,Education,1,1,Day,0
56303.4,NetBanking,Subscriptions,0,1,Day,0
146626.81,NetBanking,Entertainment,1,1,Day,1
158477.02,NetBanking,Entertainment,1,0,Day,0
188553.88,UPI,Gaming,1,1,Night,1
144638.34,UPI,Grocery,0,1,Day,0
197227.66,UPI,Shopping,0,0,Night,0
167604.77,UPI,Healthcare,1,0,Night,1
142836.58,UPI,Entertainment,1,0,Day,0
163307.57,Credit Card,Shopping,0,1,Night,1
49073.99,UPI,Electronics,0,0,Night,0
126805.46,Debit Card,Healthcare,0,0,Day,0
2935.01,NetBanking,Subscriptions,0,1,Day,0
58758.94,UPI,Shopping,1,0,Day,0
55085.63,UPI,Utilities & Bills,0,0,Day,0
172882.5,NetBanking,Shopping,0,0,Day,0
61650.34,NetBanking,Luxury Goods,0,0,Night,1
126211.24,Debit Card,Electronics,0,1,Day,1
57923.25,NetBanking,Healthcare,1,1,Night,1
94063.12,Credit Card,Healthcare,1,0,Night,1
168379.4,UPI,Utilities & Bills,1,0,Night,1
179157.0,NetBanking,Entertainment,0,1,Day,0
94045.59,UPI,Travel & Transport,1,0,Day,0
67121.22,Debit Card,Utilities & Bills,1,0,Night,1
187006.71,UPI,Subscriptions,0,1,Night,1
155895.87,NetBanking,Entertainment,0,0,Day,0
47564.9,UPI,Fuel,0,0,Night,0
183011.03,NetBanking,Shopping,1,1,Day,1
71717.9,UPI,Food & Dining,0,0,Night,0
113784.15,Debit Card,Gaming,0,0,Day,0
122361.16,NetBanking,Education,0,0,Night,0
9132.25,Credit Card,Food & Dining,0,1,Day,0
74664.44,UPI,Travel & Transport,0,1,Day,0
92298.93,NetBanking,Entertainment,0,1,Day,0
169133.83,UPI,Utilities & Bills,1,0,Day,0
95336.29,Credit Card,Fuel,0,1,Day,0
189222.08,Debit Card,Finance & Investments,0,1,Night,1
167399.92,Credit Card,Subscriptions,1,1,Night,1
49242.31,Debit Card,Subscriptions,1,0,Night,0
30945.56,Credit Card,Utilities & Bills,0,1,Day,0
162980.58,NetBanking,Healthcare,0,1,Day,0
82220.82,UPI,Shopping,0,0,Night,0
116709.6,NetBanking,Subscriptions,1,0,Day,0
187955.82,Credit Card,Grocery,1,1,Night,1
68920.63,UPI,Shopping,1,1,Night,1
54037.9,Credit Card,Healthcare,0,1,Night,1
12409.03,UPI,Food & Dining,1,1,Night,1
164975.46,NetBanking,Finance & Investments,0,1,Day,0
187392.44,NetBanking,Food & Dining,0,1,Day,0
152292.32,NetBanking,Education,1,0,Night,1
186323.45,Debit Card,Grocery,0,0,Day,0
197876.14,NetBanking,Electronics,0,1,Day,1
127298.1,UPI,Fuel,1,0,Day,0
159076.96,UPI,Luxury Goods,0,0,Night,1
8855.21,UPI,Shopping,0,0,Day,0
163335.62,Debit Card,Entertainment,0,1,Night,1
21083.63,NetBanking,Subscriptions,1,0,Day,0
10889.25,UPI,Subscriptions,1,0,Day,0
62890.41,Debit Card,Finance & Investments,1,1,Day,1
127068.68,UPI,Healthcare,0,0,Night,0
83005.42,NetBanking,Travel & Transport,1,0,Night,1
176895.39,Debit Card,Subscriptions,1,0,Night,1
185357.25,NetBanking,Finance & Investments,1,0,Night,1
41641.82,Credit Card,Fuel,1,1,Day,0
57578.7,Debit Card,Education,0,1,Night,1
197336.05,Debit Card,Entertainment,1,1,Night,1
108090.19,Credit Card,Gaming,0,1,Night,1
193435.13,Debit Card,Grocery,0,0,Day,0
173780.16,UPI,Utilities & Bills,1,0,Night,1
193307.35,Credit Card,Grocery,1,0,Day,0
51956.67,NetBanking,Education,0,1,Night,1
